net,length_um
_1693_,73.165µm
pwm_inst.CMPX_REG\[17\],73.12µm
_2971_,73.06µm
_2044_,72.98µm
dat_o\[2\]\[28\],72.66µm
pwm_inst.PR_REG\[5\],72.56µm
_1263_,72.5µm
pwm_inst.RELOAD_REG\[12\],72.38µm
_1957_,72.3µm
net319,72.24µm
uart_inst.TX_FIFO_LEVEL_WIRE\[2\],72.235µm
net215,72.08µm
_1759_,72.04µm
net173,71.94µm
_2902_,71.44µm
net358,71.42µm
pwm_inst.RELOAD_REG\[10\],71.37µm
net142,71.04µm
_1592_,70.82µm
_2688_,70.5µm
pwm_inst.RELOAD_REG\[23\],70.415µm
_2878_,70.14µm
_1271_,69.97µm
uart_inst.MATCH_REG\[6\],69.91µm
uart_inst.instance_to_wrap.fifo_rx.w_ptr_reg\[0\],69.84µm
_1305_,69.8µm
dat_o\[2\]\[14\],69.76µm
_1256_,69.595µm
uart_inst.instance_to_wrap.tx_en,69.52µm
_1956_,69.34µm
uart_inst.RX_FIFO_LEVEL_WIRE\[2\],69.13µm
_2783_,69.02µm
dat_o\[2\]\[13\],69.02µm
_1289_,68.965µm
_2239_,68.72µm
uart_inst.instance_to_wrap.fifo_tx.w_ptr_reg\[2\],68.65µm
_2756_,68.56µm
pwm_inst.CMPX_REG\[21\],68.54µm
uart_inst.instance_to_wrap.uart_rx.data_reg\[8\],68.44µm
net229,68.4µm
dat_o\[2\]\[9\],68.33µm
pwm_inst.CMPX_REG\[18\],68.28µm
_1673_,68.24µm
net100,67.97µm
clknet_leaf_6_wb_clk_i,67.7µm
pwm_inst.CMPX_REG\[29\],67.4µm
_2231_,67.24µm
pwm_inst.CMPX_REG\[8\],67.14µm
pwm_inst.CMPY_REG\[18\],66.94µm
_1666_,66.88µm
net210,66.84µm
uart_inst.instance_to_wrap.uart_tx.current_state\[0\],66.59µm
_2154_,66.54µm
clknet_leaf_45_wb_clk_i,66.14µm
_2841_,66.1µm
_2660_,66.08µm
_1571_,65.88µm
pwm_inst.CMPX_REG\[19\],65.85µm
_2794_,65.76µm
pwm_inst.RELOAD_REG\[17\],65.345µm
_1786_,65.32µm
_1217_,65.08µm
_1565_,65µm
_0046_,64.84µm
_2708_,64.76µm
pwm_inst.CMPX_REG\[16\],64.56µm
_1539_,64.44µm
_1763_,64.32µm
pwm_inst.TMR_WIRE\[7\],64.26µm
_2943_,64.09µm
uart_inst.TX_FIFO_LEVEL_WIRE\[0\],64.01µm
_1528_,63.8µm
_2175_,63.66µm
uart_inst.TX_FIFO_FLUSH_REG,63.66µm
